,index,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre,gross sales,publisher revenue,sale price,sales rank,Publisher ,units sold
670,670,2011.0,Dead Reckoning,Charlaine Harris,eng,Intermediate,3.77,87066.0,nonfiction,117.81,70.686,0.99,770.0,"Amazon Digital Services,  Inc.",38448.0
671,671,1985.0,The Accidental Tourist,"Anne Tyler, Jennifer Bassett",eng,Intermediate,3.9,80075.0,,784.21,470.526,6.59,770.0,"Amazon Digital Services,  Inc.",38448.0
672,672,,Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire SÃ¡enz,,Excellent,4.34,108884.0,,1082.9,649.74,9.1,770.0,"Amazon Digital Services,  Inc.",38232.0
673,673,1897.0,The Invisible Man,H.G. Wells,eng,Intermediate,3.62,84778.0,genre fiction,117.81,70.686,0.99,,Macmillan,38016.0
674,674,1985.0,ä¸–ç•Œã®çµ‚ã‚Šã¨ãƒãƒ¼ãƒ‰ãƒœã‚¤ãƒ«ãƒ‰ãƒ»ãƒ¯ãƒ³ãƒ€ãƒ¼ãƒ©ãƒ³ãƒ‰ [Sekai no owari to hÄdoboirudo wandÄrando],"Haruki Murakami, Alfred Birnbaum",eng,Excellent,4.15,63764.0,genre fiction,117.81,70.686,0.99,773.0,"Amazon Digital Services,  Inc.",38016.0
675,675,1994.0,Na margem do rio Piedra eu sentei e chorei,"Paulo Coelho, Alan R. Clarke",eng,Intermediate,3.57,62106.0,genre fiction,915.11,549.066,7.69,775.0,Random House LLC,37584.0
676,676,1812.0,Der Schweizerische Robinson,"Johann David Wyss, Scott McKowen, Arthur Pober",eng,Intermediate,3.92,78355.0,genre fiction,355.81,0.0,2.99,779.0,"Amazon Digital Services,  Inc.",37584.0
677,677,1990.0,Four Past Midnight,Stephen King,en-GB,Intermediate,3.9,76376.0,nonfiction,640.22,384.132,5.38,779.0,HarperCollins Publishers,37368.0
678,678,2012.0,The Marriage Bargain,Jennifer Probst,eng,Intermediate,3.81,91630.0,genre fiction,1307.81,784.686,10.99,781.0,Random House LLC,37368.0
679,679,1909.0,Anne of Avonlea,L.M. Montgomery,en-US,Excellent,4.21,99918.0,genre fiction,117.81,70.686,0.99,782.0,"Amazon Digital Services,  Inc.",37368.0
680,680,1930.0,The Little Engine That Could,"Watty Piper, Doris Hauman, George Hauman",en-US,Excellent,4.15,82102.0,genre fiction,593.81,0.0,4.99,783.0,"Amazon Digital Services,  Inc.",37152.0
681,681,2013.0,We Are All Completely Beside Ourselves,Karen Joy Fowler,eng,Intermediate,3.71,59973.0,genre fiction,355.81,0.0,2.99,783.0,"Amazon Digital Services,  Inc.",37152.0
